tier_price_id,id,tiered_price_starts_from,tiered_price
3138,1132,50,10.5
3139,1139,50,10.5
3140,2330,50,17.9
3141,2324,70,9.99
3142,2325,70,10.6
3143,2327,50,9.9
3144,2326,50,8.6
3145,2329,50,10.99
3146,2331,50,10.9
3147,2332,50,12.8
3148,1506,80,26.85
3149,2319,50,3.99
3150,2321,50,8.99
3151,2333,50,5.5
3152,1124,50,27.5
3153,1413,50,6.99
3154,1194,50,13.99
3155,1126,50,11.99
3156,1130,70,8.99
3157,1128,50,12.99
3158,1129,50,13.99
3159,1135,50,10.5
3160,1204,50,7.99
3161,1205,50,10.99
3162,1131,50,13.99
3163,1140,50,8.5
3164,1207,50,9.5
3165,1195,50,18.5
3166,1141,50,12.5
3167,1206,50,7.5
3168,1127,50,12.0
3169,1210,50,29.0
3170,842,50,17.5
3171,1143,50,15.99
3172,1411,50,9.5
3173,1409,50,13.99
3174,1187,50,11.99
3175,1142,50,15.9
3176,1188,50,12.99
3177,1189,50,11.5
3178,845,50,11.9
3179,844,50,40.0
3180,846,50,38.9
3181,843,50,40.0
3182,1190,50,11.99
3183,1136,50,9.99
3184,1192,50,8.99
3185,1137,50,7.99
3186,1193,50,14.99
3187,1191,50,6.99
3188,1138,50,7.5
3189,1125,50,28.5
3190,1203,50,10.99
3191,1209,50,14.5
3192,847,50,10.99
3193,1133,50,9.5
3194,1412,50,14.95
3195,1208,50,8.99
3196,848,50,14.99
