variant_id,var_colour,var_pantone,var_hex,material_id
2879,Black,19-4006,292a2d,2532
2877,White Stone,,,2532
2880,Black Navy,19-4013,232f36,730
2881,Cornstalk,,,730
2882,Olive Green,19-0511,545144,730
2883,Storm Blue,,,730
2884,Optical White,,,729
2886,Terracotta Orange,,,2533
2887,Caramel,16-1212,b49f89,2533
2889,RL Tan,,,2533
2890,Light Earth,,,2533
2892,Olive,19-0511,545144,2533
2891,Olive Moss,,,2533
2893,Sage Green FT,,,2533
2894,Navy,19-3920,2b2e43,2533
2895,Charcoal,,,2533
2896,Black Navy,19-4013,232f36,2533
2897,Black,19-4006,292a2d,2533
2898,White,,,2533
