id,material_id,starts_from,price,created_at,updated_at
3258,2168,100,10.2,2021-07-29T15:04:06.898Z,2021-07-29T15:04:06.898Z
3259,2147,31,8.58,2021-07-29T15:04:06.918Z,2021-07-29T15:04:06.918Z
3260,2147,100,7.8,2021-07-29T15:04:06.921Z,2021-07-29T15:04:06.921Z
3261,2274,31,14.74,2021-07-29T15:04:06.941Z,2021-07-29T15:04:06.941Z
3262,2274,100,13.4,2021-07-29T15:04:06.944Z,2021-07-29T15:04:06.944Z
3263,2273,31,10.56,2021-07-29T15:04:06.965Z,2021-07-29T15:04:06.965Z
3264,2273,100,9.6,2021-07-29T15:04:06.967Z,2021-07-29T15:04:06.967Z
3265,2120,31,29.7,2021-07-29T15:04:06.988Z,2021-07-29T15:04:06.988Z
3266,2120,100,27,2021-07-29T15:04:06.990Z,2021-07-29T15:04:06.990Z
3267,2126,31,19.14,2021-07-29T15:04:07.011Z,2021-07-29T15:04:07.011Z
3268,2126,100,17.4,2021-07-29T15:04:07.014Z,2021-07-29T15:04:07.014Z
3269,1335,31,15.84,2021-07-29T15:04:07.035Z,2021-07-29T15:04:07.035Z
3270,1335,100,14.4,2021-07-29T15:04:07.037Z,2021-07-29T15:04:07.037Z
3271,1338,31,15.73,2021-07-29T15:04:07.058Z,2021-07-29T15:04:07.058Z
3272,1338,100,14.3,2021-07-29T15:04:07.060Z,2021-07-29T15:04:07.060Z
3273,1341,31,17.27,2021-07-29T15:04:07.081Z,2021-07-29T15:04:07.081Z
3274,1341,100,15.7,2021-07-29T15:04:07.083Z,2021-07-29T15:04:07.083Z
3275,1344,31,21.78,2021-07-29T15:04:07.104Z,2021-07-29T15:04:07.104Z
3276,1344,100,19.8,2021-07-29T15:04:07.107Z,2021-07-29T15:04:07.107Z
3277,2122,31,9.35,2021-07-29T15:04:07.128Z,2021-07-29T15:04:07.128Z
3278,2122,100,8.5,2021-07-29T15:04:07.131Z,2021-07-29T15:04:07.131Z
3279,1337,31,18.92,2021-07-29T15:04:07.151Z,2021-07-29T15:04:07.151Z
3280,1337,100,17.2,2021-07-29T15:04:07.154Z,2021-07-29T15:04:07.154Z
3281,2131,31,15.18,2021-07-29T15:04:07.175Z,2021-07-29T15:04:07.175Z
3282,2131,100,13.8,2021-07-29T15:04:07.177Z,2021-07-29T15:04:07.177Z
3283,2135,31,9.24,2021-07-29T15:04:07.199Z,2021-07-29T15:04:07.199Z
3284,2135,100,8.4,2021-07-29T15:04:07.201Z,2021-07-29T15:04:07.201Z
3285,2137,31,29.04,2021-07-29T15:04:07.224Z,2021-07-29T15:04:07.224Z
3286,2137,100,26.4,2021-07-29T15:04:07.227Z,2021-07-29T15:04:07.227Z
3287,2140,31,9.02,2021-07-29T15:04:07.248Z,2021-07-29T15:04:07.248Z
3288,2140,100,8.2,2021-07-29T15:04:07.250Z,2021-07-29T15:04:07.250Z
