id,status,type,quantity,requested_at,closed_at,delay_days,delay_note,material_id,user_id,project_id,created_at,updated_at,order_id,price,price_unit,surcharge,accepted_at,deleted_at,origin_quantity,variant_id,currency,bought_price
585,delivered,swatch,1,2020-08-05T14:17:38.964Z,,7,,238,341,,2020-08-05T14:08:59.894Z,2021-05-03T19:24:03.621Z,138,0,,,2020-08-05T16:09:58.197Z,,,174,USD,0
499,delivered,swatch,1,2020-07-27T10:26:16.244Z,,7,"Alternatively, you can consider RC111ADH which is the recycled version for this, also down proof and suitable for puffer",390,168,,2020-07-24T19:05:49.349Z,2021-05-03T19:24:03.653Z,137,0,,,2020-07-28T13:43:13.980Z,,,232,USD,0
805,delivered,swatch,1,2020-10-12T11:13:37.149Z,,,,664,168,,2020-10-09T11:07:37.036Z,2021-05-03T19:24:03.981Z,155,0,,,,,,373,USD,0
866,delivered,swatch,1,2020-10-14T16:48:06.234Z,,,,1493,307,,2020-10-14T16:31:30.138Z,2021-05-03T19:24:03.997Z,160,0,,,,,,1118,USD,0
868,delivered,swatch,2,2020-10-14T16:48:06.234Z,,,,1494,307,,2020-10-14T16:31:39.591Z,2021-05-03T19:24:04.110Z,160,0,,,,,,1119,USD,0
1694,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,848,284,,2021-04-29T16:04:32.419Z,2021-05-26T06:51:30.627Z,234,2,,,,,,467,USD,2
1695,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,1474,284,,2021-04-29T16:05:01.675Z,2021-05-26T06:51:30.643Z,234,2,,,,,,1067,USD,2
1696,delivered,swatch,2,2021-04-29T16:17:53.656Z,,,,2140,284,,2021-04-29T16:05:43.003Z,2021-05-26T06:51:30.658Z,234,2,,,,,,2168,USD,4
1697,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,1204,284,,2021-04-29T16:06:00.528Z,2021-05-26T06:51:30.673Z,234,2,,,,,,808,USD,2
1698,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,1487,284,,2021-04-29T16:06:11.671Z,2021-05-26T06:51:30.691Z,234,2,,,,,,1112,USD,2
1700,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,2154,284,,2021-04-29T16:06:34.568Z,2021-05-26T06:51:30.722Z,234,2,,,,,,2182,USD,2
1693,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,1200,284,,2021-04-29T16:04:15.127Z,2021-05-26T06:51:38.165Z,234,2,,,,,,804,USD,2
637,delivered,sample,14,2020-08-26T11:31:31.600Z,,0,,1417,151,,2020-08-20T08:39:56.253Z,2021-05-03T19:23:59.301Z,142,4.7,,,,,,1010,USD,65.8
641,delivered,sample,10,2020-08-26T11:31:31.600Z,,0,,1418,151,,2020-08-25T10:22:07.101Z,2021-05-03T19:23:59.316Z,142,4.7,,,,,,1011,USD,47
1595,delivered,swatch,1,2021-04-23T11:53:09.537Z,,,,501,114,,2021-04-23T11:51:24.364Z,2021-05-11T15:29:55.777Z,230,2,,,,,,267,USD,2
1596,delivered,swatch,1,2021-04-23T11:53:09.537Z,,,,499,114,,2021-04-23T11:51:37.909Z,2021-05-11T15:29:55.760Z,230,2,,,,,,265,USD,2
1597,delivered,swatch,1,2021-04-23T11:53:09.537Z,,,,493,114,,2021-04-23T11:52:01.536Z,2021-05-11T15:29:55.744Z,230,2,,,,,,259,USD,2
1599,delivered,swatch,1,2021-04-23T11:53:09.537Z,,,,486,114,,2021-04-23T11:52:48.763Z,2021-05-11T15:30:07.644Z,230,2,,,,,,252,USD,2
1592,delivered,swatch,1,2021-04-23T11:53:09.537Z,,,,649,114,,2021-04-23T11:49:19.757Z,2021-05-11T15:30:07.628Z,230,2,,,,,,358,USD,2
1593,delivered,swatch,1,2021-04-23T11:53:09.537Z,,,,651,114,,2021-04-23T11:49:48.091Z,2021-05-11T15:30:07.611Z,230,2,,,,,,360,USD,2
1594,delivered,swatch,1,2021-04-23T11:53:09.537Z,,,,500,114,,2021-04-23T11:51:07.029Z,2021-05-11T15:29:55.793Z,230,2,,,,,,266,USD,2
686,delivered,sample,5,2020-09-15T08:43:25.350Z,,0,,844,168,,2020-09-14T20:42:00.596Z,2021-05-03T19:23:59.601Z,147,58.45,,,,,,463,USD,292.25
688,delivered,sample,7,2020-09-15T08:43:25.350Z,,,no availability,497,168,,2020-09-14T20:59:48.647Z,2021-05-03T19:23:59.618Z,146,8.07,,,,,,1232,USD,56.49
683,delivered,sample,7,2020-09-15T08:43:25.350Z,,0,,497,168,,2020-09-14T20:26:24.569Z,2021-05-03T19:23:59.633Z,146,8.07,,,,,,1213,USD,56.49
684,delivered,sample,2,2020-09-15T08:43:25.350Z,,,no availability,494,168,,2020-09-14T20:27:08.288Z,2021-05-03T19:23:59.649Z,146,8.07,,,,,,1222,USD,16.14
685,delivered,sample,7,2020-09-15T08:43:25.350Z,,0,,492,168,,2020-09-14T20:40:02.921Z,2021-05-03T19:23:59.664Z,146,12.4,,,,,,1229,USD,86.8
687,delivered,sample,4,2020-09-15T08:43:25.350Z,,0,,650,168,,2020-09-14T20:53:36.028Z,2021-05-03T19:23:59.679Z,146,19.77,,,,,,359,USD,79.08
722,delivered,swatch,1,2020-10-14T16:12:42.787Z,,365,"Swatch is not available on this item as indicated on the fabric details page, please order sample volume directly, thanks!",1403,284,,2020-09-17T22:48:28.137Z,2021-05-03T19:24:04.228Z,161,0,,,2020-10-21T01:41:03.090Z,,,996,USD,0
834,delivered,swatch,1,2020-10-14T16:12:42.787Z,,14,"Currently out of stock, hence delivery will be delayed by 14 days.",929,284,,2020-10-14T15:43:05.220Z,2021-05-03T19:24:04.351Z,161,0,,,2020-10-21T01:47:45.262Z,,,548,USD,0
765,delivered,swatch,1,2020-10-14T16:12:42.787Z,,,,1476,284,,2020-10-02T02:29:02.255Z,2021-05-03T19:24:04.537Z,161,0,,,,,,1069,USD,0
776,delivered,swatch,1,2020-10-14T16:12:42.787Z,,,,1299,284,,2020-10-02T02:54:34.851Z,2021-05-03T19:24:04.644Z,161,0,,,,,,895,USD,0
853,delivered,swatch,1,2020-10-14T16:12:42.787Z,,14,"Currently out of stock, hence delivery will be delayed by 2 weeks",1289,284,,2020-10-14T16:01:20.664Z,2021-05-03T19:24:04.734Z,161,0,,,2020-10-21T01:46:21.499Z,,,885,USD,0
1598,delivered,swatch,1,2021-04-23T11:53:09.537Z,,,,489,114,,2021-04-23T11:52:31.055Z,2021-05-11T15:29:55.717Z,230,2,,,,,,255,USD,2
1774,delivered,sample,10,2021-05-25T10:55:15.706Z,,0,Black Navy and Stone,1799,168,,2021-05-25T10:54:03.098Z,2021-06-13T16:13:11.744Z,247,22,,,,,,1651,USD,220
791,delivered,sample,266,2020-10-06T03:16:06.207Z,,,,1032,290,,2020-10-06T03:12:14.276Z,2021-05-03T19:23:59.694Z,150,1.93,,,,,,651,USD,513.38
784,delivered,sample,4,2020-10-02T19:36:25.456Z,,0,,491,168,,2020-10-02T19:36:01.712Z,2021-05-03T19:23:59.710Z,151,20.48,,,,,,257,USD,81.92
763,delivered,sample,5,2020-10-01T21:56:33.179Z,,0,,494,168,,2020-10-01T21:55:31.224Z,2021-05-03T19:23:59.726Z,149,8.07,,,,,,1222,USD,40.35
1051,delivered,swatch,1,2020-11-18T10:23:40.553Z,,,,856,36,,2020-11-18T10:22:39.657Z,2021-05-03T19:24:04.952Z,174,0,,,,,,475,USD,0
712,delivered,swatch,1,2020-10-14T16:12:42.787Z,,,,1440,284,,2020-09-17T22:16:57.762Z,2021-05-03T19:24:05.103Z,161,0,,,,,,1033,USD,0
836,delivered,swatch,1,2020-10-14T16:12:42.787Z,,14,"Currently out of stock, hence delivery will be delayed by 14 days.",902,284,,2020-10-14T15:44:30.392Z,2021-05-03T19:24:05.184Z,161,0,,,2020-10-21T01:47:27.962Z,,,521,USD,0
845,delivered,swatch,1,2020-10-14T16:12:42.787Z,,14,"Currently out of stock, hence delivery will be delayed by 2 weeks",515,284,,2020-10-14T15:53:06.696Z,2021-05-03T19:24:05.324Z,161,0,,,2020-10-21T01:46:15.145Z,,,277,USD,0
1893,delivered,sample,1,2021-07-06T20:38:05.068Z,,0,,2445,534,,2021-07-06T20:37:49.727Z,2021-07-12T08:24:14.335Z,266,36,,,,,,2706,EUR,36
780,available,sample,500,2020-10-02T11:49:39.933Z,2020-10-02T11:51:06.122Z,,,285,290,,2020-10-02T11:48:44.586Z,2020-10-02T11:51:06.129Z,,2.5,,,,,,206,,
779,available,sample,500,2020-10-02T11:49:39.933Z,2020-10-02T11:51:06.964Z,,,1647,290,,2020-10-02T11:48:31.449Z,2020-10-02T11:51:06.971Z,,0.85,,,,,,1375,,
778,available,sample,500,2020-10-02T11:49:39.933Z,2020-10-02T11:51:07.759Z,,,1008,290,,2020-10-02T11:48:07.455Z,2020-10-02T11:51:07.766Z,,0.9,,,,,,627,,
777,available,sample,500,2020-10-02T11:49:39.933Z,2020-10-02T11:51:12.446Z,,,801,290,,2020-10-02T11:47:49.539Z,2020-10-02T11:51:12.454Z,,1.92,,,,,,429,,
781,available,sample,500,2020-10-02T11:49:39.933Z,2020-10-02T11:51:04.900Z,,,1610,290,,2020-10-02T11:49:03.911Z,2020-10-02T11:51:04.907Z,,1.9,,,,,,1338,,
783,available,sample,200,2020-10-02T11:51:52.290Z,2020-10-02T11:52:48.881Z,,,391,151,,2020-10-02T11:51:45.700Z,2020-10-02T11:52:48.888Z,,4.7,,,,,,1075,,
782,available,sample,200,2020-10-02T11:51:52.290Z,2020-10-02T11:52:50.062Z,,,391,151,,2020-10-02T11:51:42.082Z,2020-10-02T11:52:50.069Z,,4.7,,,,,,1083,,
789,delivered,sample,321,2020-10-06T03:16:06.207Z,,,,1102,290,,2020-10-06T03:09:57.923Z,2021-05-03T19:23:59.744Z,150,3.06,,,,,,721,USD,982.26
792,delivered,sample,266,2020-10-06T03:16:06.207Z,,,,1643,290,,2020-10-06T03:12:38.963Z,2021-05-03T19:23:59.759Z,150,0.85,,,,,,1371,USD,226.1
1212,available,sample,40,2020-12-21T12:37:48.313Z,2021-01-18T13:40:47.552Z,,,1915,341,,2020-12-21T12:34:45.203Z,2021-01-18T13:40:47.559Z,,43.9,,,,,,1774,,
1213,available,sample,45,2020-12-21T12:37:48.313Z,2021-01-18T13:40:54.350Z,,,1915,341,,2020-12-21T12:35:15.189Z,2021-01-18T13:40:54.358Z,,43.9,,,,,,1775,,
788,delivered,sample,312,2020-10-06T03:16:06.207Z,,,,1100,290,,2020-10-06T03:09:45.810Z,2021-05-03T19:23:59.790Z,150,3.06,,,,,,719,USD,954.72
814,delivered,sample,5.5,2020-10-19T20:56:42.456Z,,0,,492,168,,2020-10-12T22:03:21.417Z,2021-05-03T19:23:59.806Z,159,12.4,,,,,,1228,USD,68.2
812,delivered,sample,4,2020-10-19T20:56:42.456Z,,0,,494,168,,2020-10-12T22:00:21.826Z,2021-05-03T19:23:59.821Z,159,8.07,,,,,,1222,USD,32.28
813,delivered,sample,2.5,2020-10-19T20:56:42.456Z,,0,,650,168,,2020-10-12T22:01:38.035Z,2021-05-03T19:23:59.837Z,159,19.77,,,,,,359,USD,49.425
829,delivered,sample,10,2020-10-14T07:18:50.203Z,,,,1144,69,,2020-10-14T07:16:59.805Z,2021-05-03T19:23:59.852Z,156,3.8,,,,,,1490,USD,38
769,delivered,swatch,1,2020-10-14T16:12:42.787Z,,14,"Currently out of stock, hence delivery will be delayed by 14 days.",48,284,,2020-10-02T02:33:46.064Z,2021-05-03T19:24:05.495Z,161,0,,,2020-10-21T01:41:05.191Z,,,24,USD,0
